Team,City,State
Air Force (Force),USAF Academy,CO
Alabama (Yellow Hammer),Tuscaloosa,AL
Alabama-B (Black Warrior Ultimate),Tuscaloosa,AL
Alabama-Birmingham (UAB),Birmingham,AL
American (Stall 11),Washington,DC
American-B (Booty Brown),Washington,DC
Amherst (Army of Darkness),Amherst,MA
Amherst-B (Bubba Ho-Tep),Amherst,MA
Appalachian State (Nomads),Boone,NC
Arcadia (Knightmare),Glenside,PA
Arizona (Sunburn),Tucson,AZ
Arizona State (Prime),Tempe,AZ
Arizona State-B (Pleasure Ultimate),Tempe,AZ
Arizona State-C (Pleasure Ultimate),Tempe,AZ
Arizona-B (Swashbucklers),Tucson,AZ
Arkansas (Ludicrous Speed),Fayetteville,AR
Auburn (Auburn),Auburn,AL
Auburn-B (Auburn),Auburn,AL
Bellarmine (Knightmare),Louisville,KY
Belmont (Disco),Nashville,TN
Bennington (Vermonster),Bennington,VT
Bentley University (Icehouse),Waltham,MA
Bethel (Bethel Ultimate),Saint Paul,MN
Boise State (Mamu Zaldi),Boise,ID
Boston College (Boston College Eagles),Chestnut Hill,MA
Bowling Green (Penguins),Bowling Green,OH
Brandeis (TRON),Waltham,MA
Brigham Young (CHI),Provo,UT
British Columbia (Thunderbirds),Vancouver,BC
Brown (Brownian Motion),Providence,RI
Cal Poly-Pomona (Cow Ultimate),Pomona,CA
California Polytech-San Luis Obispo (SloCore),San Luis Obispo,CA
California-Chico (Chico State Wildcats),Chico,CA
California-Davis (Davis Dogs),Davis,CA
California-Irvine (Nightlife),Irvine,CA
California-San Diego (Air Squids),San Diego,CA
California-San Diego-B (Air Squids- LITE B-team),San Diego,CA
California-Santa Barbara (Black Tide),Goleta,CA
California-Santa Cruz (Slugs),Santa Cruz,CA
CarletonCollege,Northfield,
Canisius (Honeybadgers),Buffalo,NY
Hendrix (Flying Squirrels),Conway,AR
Humboldt State (Humboldt State Buds),Arcata,CA
Idaho (Red Scare),Moscow,ID
Illinois (Illinois),Champaign,IL
Illinois State (Gnomes),Normal,IL
Illinois-B (Boomland),Urbana,IL
Indiana (HoosierMama?s),Bloomington,IN
Indiana Wesleyan (Huck Dynasty),Greenwood,IN
Iowa (IHUC),Iowa City,IA
Iowa State (ISUC),Ames,IA
Ithaca (Nawshus Ultimate),Ithaca,NY
IUPUI (Jaguars),Indianapolis,IN
James Madison University-B (Smellfish),Harrisonburg,VA
John Brown (Ironfist),Siloam Springs,AR
Keene State (Keene State Frozone),Keene,NH
Kennesaw State (Parliament),Kennesaw,GA
Kentucky (KULT),Lexington,KY
Kettering (Kettnetic Thunder),Flint,MI
Knox (Baberham),Galesburg,IL
Las Positas (Hawks),Livermore,CA
Lehigh (Lehigh),Bethlehem,PA
Lehigh-B (Lehigh-B),Bethlehem,PA
Lesley (Illusion),Cambridge,MA
LeTourneau (Horsecows),Longview,TX
Lewis & Clark (Bacchus ),portland,OR
Liberty University (Liberty Flames),Lynchburg,VA
Louisiana Tech (Bulldogs),Ruston,LA
Loyola-Chicago (Darkwing),Chicago,IL
LSU (LSU Ultimate),Baton Rouge,LA
Maine (Nor'Easter),Orono,ME
Marist (Fox Ultimate),Poughkeepsie,NY
Mary Washington (Mother of George),Fredericksburg,VA
Maryland (Maryland Ultimate),College Park,MD
Maryland-B (Solar Flair),College Park,MD
Maryland-Baltimore County (Booya),Baltimore,MD
Massachusetts (Zoodisc),Amherst,MA
Merrimack (Merrimack Ultimate),North Andover,MA
Miami (OH) (The Boogiemen),Oxford,OH
Miami (University of Miami Cartel),Coral Gables,FL
Michigan (MagnUM),Ann Arbor,MI
Michigan State (Burning Couch),East Lansing,MI
Michigan Tech (DiscoTech),Houghton,MI
Michigan-B (Michigan-B),Ann Arbor,MI
Middlebury (Pranksters),Middlebury,VT
Middlebury-B (Pranksters),Middlebury,VT
Minnesota-B (Ugly Duckling),Minneapolis,MN
Minnesota-Duluth (Northern Lights),Duluth,MN
Mississippi (Xanadu),Oxford,MS
Mississippi State (Dark Horse),Starkville,MS
Missouri S&T (Miner Threat),Rolla,MO
MIT (MIT),Cambridge,MA
Montana (BearFight),Missoula,MT
Montana State (Rum Runners),Bozeman,MT
Muhlenberg (Flying Squirrels ),Allentown,PA
Navy (Poseidon),Annapolis,MD
New Haven (Chargers),West Haven,CT
New Mexico (HantaVirus),Albuquerque,NM
North Carolina (Darkside),Chapel Hill,NC
North Carolina State (NCSU Wolfpack),Raleigh,NC
North Carolina-Asheville (UNC Asheville Bulldogs),Asheville,NC
North Carolina-Greensboro (Funk),Greensboro,NC
North Carolina-Wilmington (Seamen),Wilmington,NC
North Greenville (Ninja Geese),Tigerville,SC
North Texas (Illeagles),Denton,TX
Northeastern (Huskies),Boston,MA
Northeastern-B (Beastern),Boston,MA
Northern Arizona (El Ponderoso),Flagstaff,AZ
Northern Colorado (վther),Greeley,CO
Northern Illinois (Dog House),Dekalb,IL
Northern Iowa (AmmUNItion),Cedar Falls,IA
Northern Michigan (Riptide),Marquette,MI
Notre Dame (Notre Dame),Notre Dame,IN
Notre Dame-B (Notre Dame),Notre Dame,IN
NYU (Purple Haze),New York,NY
Oberlin (Flying Horsecows),Oberlin,OH
Occidental (Detox),Los Angeles,CA
Ohio State (Leadbelly),Columbus,OH
Ohio University (Ohio University),Athens,OH
Ohio Wesleyan (Firedogs),Delaware,OH
Olivet Nazarene (Black Penguins),Bourbonnais,IL
Oregon (Ego),Eugene,OR
Oregon State (Beavers),Corvallis,OR
Oregon-B (Oregon Tree),Eugene,OR
Pacific Lutheran (Reign),Tacoma,WA
Penn State (Spank),State College,PA
Pennsylvania (Void),Philadelphia,PA
Pittsburgh (En Sabah Nur),Pittsburgh,PA
Pittsburgh-Johnstown (Flood),Johnstown,PA
Portland State (Vitruvious),Portland,OR
Puget Sound (Postmen),Tacoma,WA
Queens-Kingston (Queen's - Kingston),Kingston,ON
Ramapo (RC Hammer 2014),Red bank,NJ
Rensselaer Polytech (Trudge),Troy,NY
Rice (Cloud 9),Houston,TX
Rider (Rider Rangers),Lawrenceville,NJ
