WinningTeam,Locations,LosingTeam,WinnerScore,LoserScore,RatePer,Tournament
AirForce,,SantaClara,11,10,8,Trouble in Vegas 2012
AirForce,,LewisClark,12,10,8,Trouble in Vegas 2012
AirForce,,AzusaPacific,10,8,8,Trouble in Vegas 2012
AirForce,,BrighamYoung,13,10,8,Trouble in Vegas 2012
AirForce,,Kentucky,13,8,13,Kentucky Classic 2012
AirForce,,WashingtonUniversityB,13,6,13,Kentucky Classic 2012
AirForce,,Kentucky,13,12,13,Kentucky Classic 2012
AirForce,,Hendrix,15,10,15,2012 USAU South Central D-3 College Open CC
AirForce,,Tulsa,15,3,15,2012 USAU South Central D-3 College Open CC
AirForce,,JohnBrown,14,12,15,2012 USAU South Central D-3 College Open CC
Akron,,WrightStateB,13,0,11,Boogie Nights
Akron,,KentState,13,7,11,Boogie Nights
Akron,,MountUnion,13,10,11,Boogie Nights
Akron,,ClevelandState,11,6,14,2012 USAU Ohio D-1 College Open CC
Alabama,,BallState,13,10,3,Joint Summit 2012
Alabama,,Davidson,13,9,3,Joint Summit 2012
Alabama,,Rhodes,13,4,3,Joint Summit 2012
Alabama,,MissouriState,13,6,6,Mardi Gras XXV Sunday
Alabama,,GeorgiaSouthern,12,11,9,Tally Classic VII
Alabama,,SouthernMississippi,13,2,9,Tally Classic VII
Alabama,,TexasAM,13,9,9,Tally Classic VII
Alabama,,MississippiStateB,11,2,14,2012 USAU Gulf Coast D-1 College Open CC
Alabama,,Tulane,11,7,14,2012 USAU Gulf Coast D-1 College Open CC
Alabama,,MiddleTennesseeState,11,1,14,2012 USAU Gulf Coast D-1 College Open CC
Alabama,,SouthernMississippi,11,6,14,2012 USAU Gulf Coast D-1 College Open CC
Alabama,,Vanderbilt,12,11,14,2012 USAU Gulf Coast D-1 College Open CC
Alabama,,LSU,13,11,14,2012 USAU Gulf Coast D-1 College Open CC
Alabama,,SouthernMississippi,15,7,17,2012 USAU Southeast D-1 College Open Regionals
Alabama,,GeorgiaSouthern,15,8,17,2012 USAU Southeast D-1 College Open Regionals
Alabama,,Tulane,13,9,17,2012 USAU Southeast D-1 College Open Regionals
Alabama,,Tennessee,W,L,17,2012 USAU Southeast D-1 College Open Regionals
AlabamaBirmingham,,TennesseeTech,7,4,10,Matt Hopper Memorial III
AlabamaBirmingham,,Berry,13,12,10,Matt Hopper Memorial III
AlabamaBirmingham,,TennesseeTechB,13,4,10,Matt Hopper Memorial III
Allegheny,,Gettysburg,13,12,14,2012 USAU West Penn D-3 College Open CC
Allegheny,,Clarion,13,8,14,2012 USAU West Penn D-3 College Open CC
American,,Vanderbilt,14,8,10,40950
American,,Davidson,15,12,10,40950
American,,Charleston,W,F,10,40950
American,,Roanoke,13,1,11,Flint Michigan Megabowl (DC Tune-Up)
American,,GeorgeWashingtonB,13,1,11,Flint Michigan Megabowl (DC Tune-Up)
American,,Richmond,13,9,11,Flint Michigan Megabowl (DC Tune-Up)
American,,VirginiaCommonwealth,15,3,11,Flint Michigan Megabowl (DC Tune-Up)
American,,Richmond,13,8,11,Flint Michigan Megabowl (DC Tune-Up)
American,,WilliamMary,12,11,12,Roll Call 2012
American,,Hofstra,15,4,12,Roll Call 2012
American,,Pennsylvania,13,6,12,Roll Call 2012
American,,GeorgeWashington,11,4,15,2012 USAU Colonial D-1 College Open CC
American,,MarylandBaltimoreCounty,15,3,15,2012 USAU Colonial D-1 College Open CC
AmericanB,,Roanoke,15,7,11,Flint Michigan Megabowl (DC Tune-Up)
AmericanB,,CentralConnecticutStateB,12,9,12,Roll Call 2012
AmericanB,,GeorgeMasonB,13,5,12,Roll Call 2012
AmericanB,,GeorgeMasonB,11,3,14,2012 USAU Northern Atlantic Coast Dev College Open CC
AmericanB,,GeorgeWashingtonB,11,7,14,2012 USAU Northern Atlantic Coast Dev College Open CC
Amherst,,Nebraska,13,7,10,High Tide Session III
Amherst,,MarylandBaltimoreCounty,13,6,10,High Tide Session III
Amherst,,Allegheny,13,2,10,High Tide Session III
Amherst,,Columbia,13,4,12,High Tide Session III
Amherst,,Brandeis,15,4,12,High Tide Session III
Amherst,,NYU,15,9,12,High Tide Session III
Amherst,,Yale,W,F,12,High Tide Session III
Amherst,,HolyCross,13,12,14,2012 USAU South New England D-3 College Open CC
Amherst,,Clark,13,5,14,2012 USAU South New England D-3 College Open CC
Amherst,,Bryant,13,10,14,2012 USAU South New England D-3 College Open CC
Amherst,,WorcesterPolytech,13,11,14,2012 USAU South New England D-3 College Open CC
Amherst,,Wentworth,15,7,17,2012 USAU South New England D-3 College Open CC
Amherst,,Bryant,15,8,17,2012 USAU South New England D-3 College Open CC
Amherst,,WorcesterPolytech,14,11,17,2012 USAU South New England D-3 College Open CC
AmherstB,,JohnsHopkinsB,13,7,10,High Tide Session III
AmherstB,,OhioStateB,13,7,10,High Tide Session III
AmherstB,,JohnsHopkinsB,13,11,11,High Tide Session III
AmherstB,,MiddleburyB,W,L,12,New England Open 2012
AmherstB,,NewHampshireB,11,8,12,New England Open 2012
AmherstB,,HarvardB,11,6,12,New England Open 2012
AmherstB,,BostonCollegeB,11,7,12,New England Open 2012
AmherstB,,HarvardB,10,7,17,2012 USAU South New England Dev College Open CC
AmherstB,,BentleyB,9,7,17,2012 USAU South New England Dev College Open CC
AppalachianState,,EastTennesseeState,13,8,2,Joint Summit 2012
AppalachianState,,GeorgiaState,13,5,2,Joint Summit 2012
AppalachianState,,CarletonCollegeGOP,9,8,5,Queen City Tune Up
AppalachianState,,WilliamMaryB,12,6,6,Beenanza 2012
AppalachianState,,DelawareB,13,3,6,Beenanza 2012
AppalachianState,,SUNYBuffaloB,12,4,6,Beenanza 2012
AppalachianState,,GeorgeWashingtonB,13,4,6,Beenanza 2012
AppalachianState,,CarnegieMellonB,15,5,6,Beenanza 2012
AppalachianState,,MarylandB,15,4,6,Beenanza 2012
AppalachianState,,JamesMadisonB,13,7,6,Beenanza 2012
AppalachianState,,GeorgiaTechB,11,2,7,Chucktown Throwdown IX
AppalachianState,,Furman,9,3,7,Chucktown Throwdown IX
AppalachianState,,NorthCarolinaAsheville,11,6,7,Chucktown Throwdown IX
AppalachianState,,GeorgiaSouthernB,11,4,7,Chucktown Throwdown IX
AppalachianState,,Elon,11,6,7,Chucktown Throwdown IX
AppalachianState,,Clemson,13,7,7,Chucktown Throwdown IX
AppalachianState,,Charleston,15,10,7,Chucktown Throwdown IX
AppalachianState,,EastCarolina,13,8,15,2012 USAU Carolina D-1 College Open CC
AppalachianState,,EastCarolina,13,8,15,2012 USAU Carolina D-1 College Open CC
Arizona,,ChicoState,W,F,6,Presidents' Day Classic - Open
Arizona,,CaliforniaSantaCruz,9,4,6,Presidents' Day Classic - Open
Arizona,,NorthTexas,12,9,8,Trouble in Vegas 2012
Arizona,,ColoradoCollege,12,11,8,Trouble in Vegas 2012
Arizona,,BoiseState,13,6,8,Trouble in Vegas 2012
Arizona,,OregonState,13,12,8,Trouble in Vegas 2012
Arizona,,UCLAB,13,4,9,Irvine Invite
Arizona,,CaliforniaDavisB,13,2,9,Irvine Invite
Arizona,,SouthernCalifornia,13,3,9,Irvine Invite
Arizona,,Occidental,13,5,9,Irvine Invite
Arizona,,CaliforniaIrvineB,W,L,9,Irvine Invite
Arizona,,CalStateFullerton,13,4,9,Irvine Invite
Arizona,,CalPolyPomona,W,L,9,Irvine Invite
Arizona,,SonomaState,13,9,16,2012 USAU Desert D-1 College Open CC
Arizona,,LasPositas,13,11,16,2012 USAU Desert D-1 College Open CC
Arizona,,Stanford,13,11,16,2012 USAU Desert D-1 College Open CC
ArizonaState,,CaliforniaSantaCruz,15,13,6,Presidents' Day Classic - Open
ArizonaState,,ChicoState,15,11,6,Presidents' Day Classic - Open
ArizonaState,,PugetSound,15,13,6,Presidents' Day Classic - Open
ArizonaState,,Whitman,W,F,10,Centex 2012
ArizonaState,,CaliforniaSantaBarbara,13,7,16,2012 USAU Southwest D-1 College Open Regionals
ArizonaState,,SanDiegoState,12,10,16,2012 USAU Southwest D-1 College Open Regionals
ArizonaStateB,,Chapman,13,2,9,Irvine Invite
Arkansas,,Tulsa,11,3,5,Big D in little d
Arkansas,,ColoradoState,10,8,5,Big D in little d
Arkansas,,TexasArlington,13,5,5,Big D in little d
Arkansas,,Harding,13,10,5,Big D in little d
Arkansas,,KansasState,15,8,5,Big D in little d
