latitude,longitude,name,desc,color,source,precision
39.0101891,-104.8848572,USAF Academy,"United States Air Force Academy, CO",,Bing Maps,HigherEducationFacility
33.2104912,-87.5659332,Tuscaloosa,"Tuscaloosa, AL",,Bing Maps,city/town
33.5206795,-86.8117599,Birmingham,"Birmingham, AL",,Bing Maps,city/town
38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
42.9788895,-78.7994537,Amherst,"Amherst, NY",,Bing Maps,city/town
36.2203598,-81.6869583,Boone,"Boone, NC",,Bing Maps,city/town
40.102211,-75.151062,Glenside,"Glenside, PA",,Bing Maps,city/town
32.22155,-110.9697571,Tucson,"Tucson, AZ",,Bing Maps,city/town
33.4255104,-111.9374237,Tempe,"Tempe, AZ",,Bing Maps,city/town
35.0544891,-78.8775787,Fayetteville,"Fayetteville, NC",,Bing Maps,city/town
32.60746,-85.4817276,Auburn,"Auburn, AL",,Bing Maps,city/town
38.2548599,-85.7664032,Louisville,"Louisville, KY",,Bing Maps,city/town
36.1678391,-86.7781601,Nashville,"Nashville, TN",,Bing Maps,city/town
42.8767204,-73.1981812,Bennington,"Bennington, VT",,Bing Maps,city/town
42.3764381,-71.235321,Waltham,"Waltham, MA",,Bing Maps,city/town
44.943821,-93.0933228,Saint Paul,"St Paul, MN",,Bing Maps,city/town
43.6069794,-116.1934128,Boise,"Boise, ID",,Bing Maps,city/town
42.3260918,-71.1645508,Chestnut Hill,"Chestnut Hill, MA",,Bing Maps,city/town
36.9946213,-86.4455795,Bowling Green,"Bowling Green, KY",,Bing Maps,city/town
40.2336998,-111.6685028,Provo,"Provo, UT",,Bing Maps,city/town
49.2811012,-123.0439987,Vancouver,"Vancouver, BC",,Bing Maps,city/town
41.8238716,-71.4119873,Providence,"Providence, RI",,Bing Maps,city/town
34.0548286,-117.7500305,Pomona,"Pomona, CA",,Bing Maps,city/town
35.2855186,-120.6625214,San Luis Obispo,"San Luis Obispo, CA",,Bing Maps,city/town
39.7319984,-121.84198,Chico,"Chico, CA",,Bing Maps,city/town
38.5466919,-121.7445679,Davis,"Davis, CA",,Bing Maps,city/town
33.6872406,-117.8258209,Irvine,"Irvine, CA",,Bing Maps,city/town
32.7156906,-117.1617203,San Diego,"San Diego, CA",,Bing Maps,city/town
34.4356804,-119.8240967,Goleta,"Goleta, CA",,Bing Maps,city/town
36.9740181,-122.0309525,Santa Cruz,"Santa Cruz, CA",,Bing Maps,city/town
42.8854408,-78.8784637,Buffalo,"Buffalo, NY",,Bing Maps,city/town
35.0908089,-92.4402313,Conway,"Conway, AR",,Bing Maps,city/town
40.8676605,-124.0850601,Arcata,"Arcata, CA",,Bing Maps,city/town
55.7569695,37.6150208,Moscow,"Moscow, Russia",,Bing Maps,city/town
40.1142006,-88.2434998,Champaign,"Champaign, IL",,Bing Maps,city/town
40.5108185,-88.9941406,Normal,"Normal, IL",,Bing Maps,city/town
40.1172714,-88.2044907,Urbana,"Urbana, IL",,Bing Maps,city/town
39.1665916,-86.5342407,Bloomington,"Bloomington, IN",,Bing Maps,city/town
40.6522217,-73.9911118,Greenwood,Green-Wood Cemetery,,Bing Maps,HistoricalSite
41.6578217,-91.5265274,Iowa City,"Iowa City, IA",,Bing Maps,city/town
42.025341,-93.6202011,Ames,"Ames, IA",,Bing Maps,city/town
42.4405098,-76.4954605,Ithaca,"Ithaca, NY",,Bing Maps,city/town
39.7669106,-86.1499634,Indianapolis,"Indianapolis, IN",,Bing Maps,city/town
38.4515305,-78.8690414,Harrisonburg,"Harrisonburg, VA",,Bing Maps,city/town
36.1886292,-94.5413437,Siloam Springs,"Siloam Springs, AR",,Bing Maps,city/town
42.9332008,-72.2815018,Keene,"Keene, NH",,Bing Maps,city/town
34.0234413,-84.6167603,Kennesaw,"Kennesaw, GA",,Bing Maps,city/town
38.0485916,-84.5003204,Lexington,"Lexington, KY",,Bing Maps,city/town
43.0114403,-83.6867905,Flint,"Flint, MI",,Bing Maps,city/town
40.9469109,-90.3646622,Galesburg,"Galesburg, IL",,Bing Maps,city/town
37.6754913,-121.7582169,Livermore,"Livermore, CA",,Bing Maps,city/town
40.6310196,-75.3777771,Bethlehem,"Bethlehem, PA",,Bing Maps,city/town
42.3667908,-71.1060104,Cambridge,"Cambridge, MA",,Bing Maps,city/town
32.5006409,-94.7410736,Longview,"Longview, TX",,Bing Maps,city/town
45.5117912,-122.6756287,portland,"Portland, OR",,Bing Maps,city/town
37.4140205,-79.1428375,Lynchburg,"Lynchburg, VA",,Bing Maps,city/town
32.5304985,-92.6397934,Ruston,"Ruston, LA",,Bing Maps,city/town
41.8842506,-87.6324463,Chicago,"Chicago, IL",,Bing Maps,city/town
30.4433403,-91.1869888,Baton Rouge,"Baton Rouge, LA",,Bing Maps,city/town
44.8858795,-68.6739883,Orono,"Orono, ME",,Bing Maps,city/town
41.7067108,-73.9293671,Poughkeepsie,"Poughkeepsie, NY",,Bing Maps,city/town
38.3008919,-77.459137,Fredericksburg,"Fredericksburg, VA",,Bing Maps,city/town
38.9807205,-76.9372711,College Park,"College Park, MD",,Bing Maps,city/town
39.2905807,-76.6092606,Baltimore,"Baltimore, MD",,Bing Maps,city/town
42.7030907,-71.1312408,North Andover,"North Andover, MA",,Bing Maps,city/town
34.3640213,-89.5189438,Oxford,"Oxford, MS",,Bing Maps,city/town
25.7492294,-80.2629471,Coral Gables,"Coral Gables, FL",,Bing Maps,city/town
42.2821007,-83.7484665,Ann Arbor,"Ann Arbor, MI",,Bing Maps,city/town
42.7374992,-84.4837799,East Lansing,"East Lansing, MI",,Bing Maps,city/town
47.1218605,-88.5700226,Houghton,"Houghton, MI",,Bing Maps,city/town
44.0149918,-73.1671066,Middlebury,"Middlebury, VT",,Bing Maps,city/town
44.9790306,-93.2649307,Minneapolis,"Minneapolis, MN",,Bing Maps,city/town
46.7879601,-92.0998535,Duluth,"Duluth, MN",,Bing Maps,city/town
33.4659195,-88.8128815,Starkville,"Starkville, MS",,Bing Maps,city/town
37.9514389,-91.7674408,Rolla,"Rolla, MO",,Bing Maps,city/town
46.8727798,-113.9962311,Missoula,"Missoula, MT",,Bing Maps,city/town
45.6793213,-111.0331802,Bozeman,"Bozeman, MT",,Bing Maps,city/town
40.6026001,-75.4702606,Allentown,"Allentown, PA",,Bing Maps,city/town
38.9766998,-76.4899292,Annapolis,"Annapolis, MD",,Bing Maps,city/town
41.2722816,-72.9499817,West Haven,"West Haven, CT",,Bing Maps,city/town
35.0841789,-106.6486435,Albuquerque,"Albuquerque, NM",,Bing Maps,city/town
35.9148903,-79.0567703,Chapel Hill,"Chapel Hill, NC",,Bing Maps,city/town
35.785511,-78.6426697,Raleigh,"Raleigh, NC",,Bing Maps,city/town
35.5984612,-82.5531387,Asheville,"Asheville, NC",,Bing Maps,city/town
36.0689888,-79.7947006,Greensboro,"Greensboro, NC",,Bing Maps,city/town
34.2349701,-77.9459915,Wilmington,"Wilmington, NC",,Bing Maps,city/town
35.0703392,-82.3692093,Tigerville,"Tigerville, SC",,Bing Maps,city/town
33.2165604,-97.1309814,Denton,"Denton, TX",,Bing Maps,city/town
42.3586617,-71.0567398,Boston,"Boston, MA",,Bing Maps,city/town
35.1982002,-111.6512985,Flagstaff,"Flagstaff, AZ",,Bing Maps,city/town
40.4232712,-104.694458,Greeley,"Greeley, CO",,Bing Maps,city/town
41.9292984,-88.7492981,Dekalb,"De Kalb, IL",,Bing Maps,city/town
42.528141,-92.445549,Cedar Falls,"Cedar Falls, IA",,Bing Maps,city/town
46.5458412,-87.413681,Marquette,"Marquette, MI",,Bing Maps,city/town
41.6993294,-86.2387924,Notre Dame,"Notre Dame, IN",,Bing Maps,city/town
40.7820015,-73.8327026,New York,"New York, NY",,Bing Maps,city/town
41.2935295,-82.2173309,Oberlin,"Oberlin, OH",,Bing Maps,city/town
34.0534897,-118.2453232,Los Angeles,"Los Angeles, CA",,Bing Maps,city/town
39.9619904,-83.0027466,Columbus,"Columbus, OH",,Bing Maps,city/town
39.3336487,-82.0451813,Athens,Athens,,Bing Maps,county/district
38.9843407,-75.4430084,Delaware,Delaware,,Bing Maps,state/province
41.1542587,-87.877861,Bourbonnais,"Bourbonnais, IL",,Bing Maps,city/town
44.0499191,-123.0885391,Eugene,"Eugene, OR",,Bing Maps,city/town
44.5650406,-123.2635269,Corvallis,"Corvallis, OR",,Bing Maps,city/town
47.2551308,-122.4416428,Tacoma,"Tacoma, WA",,Bing Maps,city/town
40.7937317,-77.8607025,State College,"State College, PA",,Bing Maps,city/town
39.9522781,-75.1624527,Philadelphia,"Philadelphia, PA",,Bing Maps,city/town
